
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"
	L849	01.1.2.2 Pork	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.32	1.26	1.20	1.20	1.20	1.20	1.14	1.14	1.08	1.08	1.26	1.26	1.20	1.20	1.20	1.20	1.3076	1.2956	1.2384	1.2546	1.2823	1.2996
	L84A	01.1.2.3 Lamb and goat	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.54	1.47	1.40	1.40	1.40	1.40	1.33	1.52	1.44	1.44	1.68	1.68	1.80	1.80	1.80	1.80	1.6974	1.7087	1.7806	1.8530	1.9547	1.9654
	L84B	01.1.2.4 Poultry	 ..	 ..	 ..	 ..	 ..	 ..	 ..	3.52	3.36	3.20	3.20	3.20	3.20	3.04	3.04	2.70	2.70	3.15	3.15	3.00	3.00	3.00	3.20	3.1139	3.1279	2.8526	2.8705	2.7694	2.7764
	L84C	01.1.2.6 Edible offal	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.22	0.21	0.20	0.20	0.20	0.20	0.19	0.19	0.18	0.18	0.21	0.21	0.20	0.20	0.20	0.20	0.2109	0.2011	0.2133	0.2131	0.2284	0.2401
	L84D	01.1.2.7 Dried, salted or smoked meat	 ..	 ..	 ..	 ..	 ..	 ..	 ..	9.02	8.61	8.20	8.20	8.20	8.20	7.79	7.60	7.38	7.38	8.82	8.82	8.20	8.20	8.00	7.80	7.8812	7.8562	7.0947	7.2179	6.6713	6.6990
	L84E	01.1.2.8 Other meat preparations	 ..	 ..	 ..	 ..	 ..	 ..	 ..	3.52	3.36	3.20	3.20	3.20	3.20	3.04	3.04	2.88	2.88	3.15	3.15	3.00	3.00	3.20	3.20	3.2697	3.2720	3.0819	3.1239	3.1276	3.1389
	CJWD	 01.1.3 Fish	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	5	5	5	5	4.0703	4.0117	3.7116	3.7290	3.6794	3.7160
	L84F	01.1.3.1 Fresh or chilled fish	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.76	1.36	1.36	1.36	0.96	0.96	0.92	0.92	0.69	0.69	0.92	0.92	1.20	1.15	1.20	1.20	0.9985	0.9958	0.9399	0.9252	0.9224	0.9256
	L84G	01.1.3.4 Frozen seafood	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.52	0.72	0.72	0.72	0.96	0.96	0.92	0.92	0.69	0.69	0.92	0.96	1.15	1.25	1.15	1.15	0.9146	0.9143	0.8407	0.8630	0.8596	0.8553
	L84H	01.1.3.6 Other preserved or processed fish and seafood based preps	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.72	1.92	1.92	1.92	2.08	2.08	2.16	2.16	1.62	1.62	2.16	2.12	2.65	2.60	2.65	2.65	2.1571	2.1016	1.9310	1.9408	1.8974	1.9351
